"","party","sex","evote","zip","age","citizenship","education"
"97","Red","Female","0","2400",4,"Denmark","Vocational bachelors educations"
"98","Green","Female","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"99","Green","Male","0","2400",NA,"Other","Bachelors programmes"
"100","Green","Female","1","2100",2,"Denmark","Primary education"
"101","Green","Female","0","2100",1,"Denmark","Primary education"
"102","Red","Female","0","2300",3,"Denmark","Vocational bachelors educations"
"103","Red","Female","0","2300",2,"Denmark","Bachelors programmes"
"104","Green","Female","0","2400",4,"Denmark","Primary education"
"105","Green","Female","0","2400",2,"Denmark","Vocational Education and Training (VET)"
"106","Red","Female","0","2200",3,"Denmark","Short cycle higher education"
"107","Green","Male","0","2300",NA,"Denmark","Vocational Education and Training (VET)"
"108","Green","Male","0","2400",3,"Denmark","Primary education"
"109","Red","Female","0","2200",3,"Denmark","Masters programmes"
"110","Green","Female","0","2300",2,"Denmark","Vocational bachelors educations"
"111","Green","Male","1","2400",3,"Denmark","Vocational Education and Training (VET)"
"112","Green","Male","1","2100",1,"Denmark","Primary education"
"113","Green","Female","0","2100",1,"Denmark","Primary education"
"114","Green","Female","0","2300",3,"Denmark","Vocational Education and Training (VET)"
"115","Green","Female","0","2200",3,"Denmark","Primary education"
"116","Green","Male","1","2200",NA,"Denmark","Short cycle higher education"
"117","Green","Male","0","2400",3,"Denmark","Vocational Education and Training (VET)"
"118","Red","Female","1","2300",2,"Denmark","Vocational Education and Training (VET)"
"119","Green","Male","0","2300",3,"Denmark","Upper secondary education"
"120","Green","Female","0","2400",3,"Denmark","Vocational bachelors educations"
"121","Green","Male","0",NA,2,"Other","Masters programmes"
"122","Red","Male","0","2400",3,"Denmark","Vocational bachelors educations"
"123","Green","Female","1","2300",2,"Denmark","Vocational bachelors educations"
"124","Green","Male","1","2400",3,"Denmark","Vocational Education and Training (VET)"
"125","Green","Female","0","2200",4,"Denmark","Vocational Education and Training (VET)"
"126","Green","Female","0","2300",1,"Denmark","Primary education"
"127","Green","Female","0","2300",1,"Denmark","Vocational Education and Training (VET)"
"128","Green","Female","0","2100",NA,"Other","Bachelors programmes"
"129","Invalid vote","Male","1","2200",1,NA,"Vocational Education and Training (VET)"
"130","Red","Female","0","2100",NA,"Denmark","Vocational Education and Training (VET)"
"131","Red","Female","1","2400",3,"Denmark","Primary education"
"132","Green","Female","1","2200",1,"Denmark","Vocational Education and Training (VET)"
"133","Green","Male","0","2400",3,"Denmark","Bachelors programmes"
"134","Red","Female","0","2200",4,"Denmark","Primary education"
"135","Red","Female","0","2300",3,"Denmark","Vocational bachelors educations"
"136","Invalid vote","Male","0","2200",1,"Denmark","Vocational Education and Training (VET)"
"137","Red","Female","0","2400",3,"Denmark","Masters programmes"
"138","Red","Female","1","2400",2,"Denmark","PhD programmes"
"139","Green","Male","0","2100",3,"Denmark","Vocational Education and Training (VET)"
"140","Green","Male","0","2100",NA,"Denmark","Upper secondary education"
"141","Green","Female","1","2100",1,"Denmark","Bachelors programmes"
"142","Red","Male","0","2200",4,"Denmark","Vocational Education and Training (VET)"
"143","Green","Male","1","2200",1,"Denmark","Upper secondary education"
"144","Red","Female","0","2200",3,"Denmark","Short cycle higher education"
"145","Green","Female","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"146","Green","Male","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"147","Green","Male","0","2300",3,"Denmark","Primary education"
"148","Red","Female","0","2300",4,"Denmark","Vocational bachelors educations"
"149","Green","Female","0","2200",NA,"Other","Vocational Education and Training (VET)"
"150","Red","Male","0","2300",4,"Denmark","Vocational bachelors educations"
"151","Green","Male","0","2300",3,"Denmark","Vocational Education and Training (VET)"
"152","Green","Male","1","2400",NA,"Denmark","Vocational Education and Training (VET)"
"153","Green","Male","0","2400",2,"Denmark","Vocational bachelors educations"
"154","Red","Male","0","2300",3,"Denmark","Vocational bachelors educations"
"155","Red","Male","0","2200",3,"Denmark","Not stated"
"156","Green","Female","1","2100",1,"Denmark","Not stated"
"157","Green","Male","0","2200",2,"Denmark","Vocational Education and Training (VET)"
"158","Red","Female","0","2400",NA,"Other","Primary education"
"159","Green","Female","1","2400",NA,"Denmark","Masters programmes"
"160","Red","Male","0","2300",4,"Denmark","Primary education"
"161","Green","Male","1","2400",3,"Denmark","Primary education"
"162","Red","Female","0","2200",2,"Denmark","Masters programmes"
"163","Red","Female","0","2200",2,"Denmark","Vocational bachelors educations"
"164","Green","Male","1","2100",1,"Denmark","Bachelors programmes"
"165","Red","Male","0","2400",2,"Denmark","Vocational bachelors educations"
"166","Red","Female","0","2300",4,"Denmark","Vocational Education and Training (VET)"
"167","Green","Male","0","2400",4,"Denmark","Vocational Education and Training (VET)"
"168","Green","Female","0","2300",1,"Denmark","Upper secondary education"
"169","Green","Male","0","2400",2,"Denmark","Vocational Education and Training (VET)"
"170","Red","Male","0","2300",3,"Denmark","Primary education"
"171","Green","Male","0","2100",4,"Denmark","Vocational Education and Training (VET)"
"172","Green","Male","0","2400",3,"Denmark","Vocational Education and Training (VET)"
"173","Red","Female","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"174","Red","Male","1","2300",NA,"Denmark","Masters programmes"
"175","Red","Male","0","2300",3,"Denmark","Vocational bachelors educations"
"176","Green","Female","1","2400",2,"Denmark","Vocational Education and Training (VET)"
"177","Green","Male","0","2100",NA,"Other","Primary education"
"178","Red","Female","1","2400",2,"Denmark","Vocational bachelors educations"
"179","Red","Female","0","2200",3,"Denmark","Vocational Education and Training (VET)"
"180","Green","Male","0","2200",3,"Denmark","Primary education"
"181","Red","Female","0","2400",3,"Denmark","Vocational bachelors educations"
"182","Red","Female","0","2200",3,"Denmark","Vocational bachelors educations"
"183","Green","Male","0","2200",2,"Denmark","Primary education"
"184","Red","Female","0",NA,4,"Other","Vocational bachelors educations"
"185","Green","Male","0","2300",3,"Denmark","Short cycle higher education"
"186","Green","Female","1","2100",1,"Denmark","Primary education"
"187","Green","Female","0","2300",4,"Denmark","Vocational Education and Training (VET)"
"188","Green","Female","0","2400",4,"Denmark","Primary education"
"189","Green","Male","0","2100",NA,"Denmark","Primary education"
"190","Green","Male","0","2100",3,"Denmark","Vocational Education and Training (VET)"
"191","Green","Female","0","2100",2,"Denmark","Vocational Education and Training (VET)"
"192","Green","Male","1","2200",2,"Denmark","Upper secondary education"
"193","Red","Female","0",NA,4,"Other","Primary education"
"194","Red","Female","0","2200",1,"Denmark","Vocational bachelors educations"
"195","Green","Female","1","2100",1,"Denmark","Vocational Education and Training (VET)"
"196","Green","Female","0","2400",4,"Denmark","Vocational Education and Training (VET)"
"197","Red","Male","0","2300",4,"Denmark","Vocational bachelors educations"
"198","Green","Male","1","2200",2,"Denmark","Masters programmes"
"199","Red","Female","0","2300",2,"Denmark","Short cycle higher education"
"200","Green","Male","0","2400",3,"Denmark","Vocational Education and Training (VET)"
